2023-12-30 17:12:760 INFO  HomePage :26 - Clicking on header menu option : [[[ChromeDriver: chrome on windows (7ac6b72cf36b3c7af58f9746ad1e4929)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7ac6b72cf36b3c7af58f9746ad1e4929)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7ac6b72cf36b3c7af58f9746ad1e4929)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7ac6b72cf36b3c7af58f9746ad1e4929)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7ac6b72cf36b3c7af58f9746ad1e4929)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7ac6b72cf36b3c7af58f9746ad1e4929)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7ac6b72cf36b3c7af58f9746ad1e4929)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (7ac6b72cf36b3c7af58f9746ad1e4929)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-12-30 17:12:808 INFO  HomePage :58 - Getting text as Login to your account : Proxy element for: DefaultElementLocator 'By.xpath: //h2[normalize-space()='Login to your account']'
2023-12-30 17:12:422 INFO  HomePage :37 - Getting Home Page URL : 
2023-12-30 17:12:298 INFO  HomePage :58 - Getting text as Login to your account : [[ChromeDriver: chrome on windows (a8eebf2f68b115e37b7596a0f1642275)] -> xpath: //h2[normalize-space()='Login to your account']]
2023-12-30 17:12:499 INFO  HomePage :80 - Sending data to Email Address Field in Login : [[ChromeDriver: chrome on windows (a8eebf2f68b115e37b7596a0f1642275)] -> xpath: //input[@data-qa='login-email']]
2023-12-30 17:12:587 INFO  HomePage :82 - Sending data to Password Field in Login : [[ChromeDriver: chrome on windows (a8eebf2f68b115e37b7596a0f1642275)] -> xpath: //input[@placeholder='Password']]
2023-12-30 17:12:696 INFO  HomePage :88 - Clicking on Login button : [[ChromeDriver: chrome on windows (a8eebf2f68b115e37b7596a0f1642275)] -> xpath: //button[normalize-space()='Login']]
2023-12-30 17:12:215 INFO  HomePage :37 - Getting Home Page URL : 
2023-12-30 17:12:934 INFO  HomePage :58 - Getting text as Login to your account : [[ChromeDriver: chrome on windows (022548b263acb03cac38c7d64d94c45a)] -> xpath: //h2[normalize-space()='Login to your account']]
2023-12-30 17:12:89 INFO  HomePage :80 - Sending data to Email Address Field in Login : [[ChromeDriver: chrome on windows (022548b263acb03cac38c7d64d94c45a)] -> xpath: //input[@data-qa='login-email']]
